county_name,id,total_amount,group,year
"Boone County, Indiana",6,18039,low,0-6.9
"Clark County, Indiana",10,15730,low,0-6.9
"Clinton County, Indiana",12,3134,low,0-6.9
"Dearborn County, Indiana",15,6753,low,0-6.9
"Dubois County, Indiana",19,5606,low,0-6.9
"Floyd County, Indiana",22,13881,low,0-6.9
"Gibson County, Indiana",26,3539,low,0-6.9
"Hamilton County, Indiana",29,109706,low,0-6.9
"Hancock County, Indiana",30,14044,low,0-6.9
"Hendricks County, Indiana",32,35415,low,0-6.9
"Jasper County, Indiana",37,3661,low,0-6.9
"Johnson County, Indiana",41,28580,low,0-6.9
"Kosciusko County, Indiana",43,10941,low,0-6.9
"LaGrange County, Indiana",44,2438,low,0-6.9
"Marshall County, Indiana",50,5662,low,0-6.9
"Martin County, Indiana",51,811,low,0-6.9
"Montgomery County, Indiana",54,4239,low,0-6.9
"Noble County, Indiana",57,4395,low,0-6.9
"Ohio County, Indiana",58,591,low,0-6.9
"Pike County, Indiana",63,1108,low,0-6.9
"Porter County, Indiana",64,29467,low,0-6.9
"Posey County, Indiana",65,3610,low,0-6.9
"Putnam County, Indiana",67,3543,low,0-6.9
"Ripley County, Indiana",69,3356,low,0-6.9
"Spencer County, Indiana",74,2201,low,0-6.9
"Steuben County, Indiana",76,4632,low,0-6.9
"Tipton County, Indiana",80,2289,low,0-6.9
"Union County, Indiana",81,923,low,0-6.9
"Wabash County, Indiana",85,3968,low,0-6.9
"Warren County, Indiana",86,1132,low,0-6.9
"Warrick County, Indiana",87,11649,low,0-6.9
"Wells County, Indiana",90,3244,low,0-6.9
"White County, Indiana",91,2618,low,0-6.9
"Whitley County, Indiana",92,4186,low,0-6.9
"Delaware County, Indiana",18,16351,high,14.0-21.0
"Tippecanoe County, Indiana",79,34982,high,14.0-21.0
"Monroe County, Indiana",53,35824,high,14.0-21.0
"Adams County, Indiana",1,3227,medium,7.0-13.9
"Allen County, Indiana",2,64094,medium,7.0-13.9
"Bartholomew County, Indiana",3,15983,medium,7.0-13.9
"Benton County, Indiana",4,983,medium,7.0-13.9
"Blackford County, Indiana",5,931,medium,7.0-13.9
"Brown County, Indiana",7,2557,medium,7.0-13.9
"Carroll County, Indiana",8,2404,medium,7.0-13.9
"Cass County, Indiana",9,3605,medium,7.0-13.9
"Clay County, Indiana",11,3072,medium,7.0-13.9
"Crawford County, Indiana",13,717,medium,7.0-13.9
"Daviess County, Indiana",14,2793,medium,7.0-13.9
"Decatur County, Indiana",16,3191,medium,7.0-13.9
"DeKalb County, Indiana",17,4878,medium,7.0-13.9
"Elkhart County, Indiana",20,23104,medium,7.0-13.9
"Fayette County, Indiana",21,1741,medium,7.0-13.9
"Fountain County, Indiana",23,1652,medium,7.0-13.9
"Franklin County, Indiana",24,2956,medium,7.0-13.9
"Fulton County, Indiana",25,1894,medium,7.0-13.9
"Grant County, Indiana",27,7438,medium,7.0-13.9
"Greene County, Indiana",28,3253,medium,7.0-13.9
"Harrison County, Indiana",31,4635,medium,7.0-13.9
"Henry County, Indiana",33,5224,medium,7.0-13.9
"Howard County, Indiana",34,11155,medium,7.0-13.9
"Huntington County, Indiana",35,4628,medium,7.0-13.9
"Jackson County, Indiana",36,4750,medium,7.0-13.9
"Jay County, Indiana",38,1517,medium,7.0-13.9
"Jefferson County, Indiana",39,3646,medium,7.0-13.9
"Jennings County, Indiana",40,1786,medium,7.0-13.9
"Knox County, Indiana",42,3763,medium,7.0-13.9
"Lake County, Indiana",45,67761,medium,7.0-13.9
"LaPorte County, Indiana",46,13197,medium,7.0-13.9
"Lawrence County, Indiana",47,4579,medium,7.0-13.9
"Madison County, Indiana",48,15269,medium,7.0-13.9
"Marion County, Indiana",49,175721,medium,7.0-13.9
"Miami County, Indiana",52,2865,medium,7.0-13.9
"Morgan County, Indiana",55,7312,medium,7.0-13.9
"Newton County, Indiana",56,995,medium,7.0-13.9
"Orange County, Indiana",59,1571,medium,7.0-13.9
"Owen County, Indiana",60,1761,medium,7.0-13.9
"Parke County, Indiana",61,1326,medium,7.0-13.9
"Perry County, Indiana",62,1798,medium,7.0-13.9
"Pulaski County, Indiana",66,950,medium,7.0-13.9
"Randolph County, Indiana",68,2265,medium,7.0-13.9
"Rush County, Indiana",70,1612,medium,7.0-13.9
"St. Joseph County, Indiana",71,48475,medium,7.0-13.9
"Scott County, Indiana",72,2099,medium,7.0-13.9
"Shelby County, Indiana",73,5049,medium,7.0-13.9
"Starke County, Indiana",75,1840,medium,7.0-13.9
"Sullivan County, Indiana",77,1735,medium,7.0-13.9
"Switzerland County, Indiana",78,580,medium,7.0-13.9
"Vanderburgh County, Indiana",82,30327,medium,7.0-13.9
"Vermillion County, Indiana",83,1414,medium,7.0-13.9
"Vigo County, Indiana",84,15773,medium,7.0-13.9
"Washington County, Indiana",88,2403,medium,7.0-13.9
"Wayne County, Indiana",89,7854,medium,7.0-13.9
