county_name,id,total_amount,group,year,
"Adams County, Indiana",1,2680,medium,2009,14.3
"Allen County, Indiana",2,30421,medium,2009,13.9
"Bartholomew County, Indiana",3,5714,high,2009,11.8
"Benton County, Indiana",4,645,high,2009,12.7
"Blackford County, Indiana",5,987,medium,2009,13.9
"Boone County, Indiana",6,2088,medium,2008,5.6
"Brown County, Indiana",7,1139,high,2009,12.9
"Carroll County, Indiana",8,1355,high,2009,11.5
"Cass County, Indiana",9,3126,high,2009,13.8
"Clark County, Indiana",10,6553,medium,2008,9.3
"Clay County, Indiana",11,2631,medium,2009,16.7
"Clinton County, Indiana",12,2121,high,2009,11.3
"Crawford County, Indiana",13,1179,medium,2009,18.5
"Daviess County, Indiana",14,2222,high,2009,12.3
"Dearborn County, Indiana",15,2446,medium,2008,8.1
"Decatur County, Indiana",16,1810,high,2009,11.7
"DeKalb County, Indiana",17,2908,high,2009,11.4
"Delaware County, Indiana",18,16866,low,2010,24.2
"Dubois County, Indiana",19,1978,medium,2008,7.9
"Elkhart County, Indiana",20,16243,medium,2009,13.9
"Fayette County, Indiana",21,2701,low,2009,19.4
"Floyd County, Indiana",22,4910,high,2009,10.4
"Fountain County, Indiana",23,1274,high,2009,13.2
"Franklin County, Indiana",24,1566,high,2009,11.5
"Fulton County, Indiana",25,1651,medium,2009,14
"Gibson County, Indiana",26,1957,medium,2008,9.9
"Grant County, Indiana",27,6848,medium,2009,18.3
"Greene County, Indiana",28,2985,medium,2009,15.6
"Hamilton County, Indiana",29,9247,medium,2008,5
"Hancock County, Indiana",30,3065,medium,2008,7
"Harrison County, Indiana",31,3335,medium,2009,14
"Hendricks County, Indiana",32,4637,medium,2008,4.9
"Henry County, Indiana",33,4149,medium,2009,15.3
"Howard County, Indiana",34,8340,medium,2009,17.2
"Huntington County, Indiana",35,2441,high,2009,11.2
"Jackson County, Indiana",36,3593,medium,2009,13.8
"Jasper County, Indiana",37,1506,medium,2008,7.8
"Jay County, Indiana",38,1811,medium,2009,15
"Jefferson County, Indiana",39,2445,high,2009,13.5
"Jennings County, Indiana",40,2385,medium,2009,14.1
"Johnson County, Indiana",41,7934,medium,2008,9
"Knox County, Indiana",42,2955,high,2009,13.6
"Kosciusko County, Indiana",43,4619,medium,2009,10
"LaGrange County, Indiana",44,2128,high,2009,10.4
"Lake County, Indiana",45,45574,medium,2009,15.4
"LaPorte County, Indiana",46,9042,medium,2009,14.8
"Lawrence County, Indiana",47,3360,high,2009,12.4
"Madison County, Indiana",48,12777,medium,2009,17.3
"Marion County, Indiana",49,106719,medium,2009,18.3
"Marshall County, Indiana",50,3008,high,2009,11.1
"Martin County, Indiana",51,681,high,2009,11.2
"Miami County, Indiana",52,3096,medium,2009,15.1
"Monroe County, Indiana",53,26510,low,2010,29.3
"Montgomery County, Indiana",54,2423,high,2009,11
"Morgan County, Indiana",55,4847,high,2009,11.5
"Newton County, Indiana",56,989,high,2009,11.8
"Noble County, Indiana",57,2860,high,2009,10.1
"Ohio County, Indiana",58,272,medium,2008,7.5
"Orange County, Indiana",59,1743,medium,2009,15.3
"Owen County, Indiana",60,1878,medium,2009,14.6
"Parke County, Indiana",61,1451,medium,2009,16.1
"Perry County, Indiana",62,1440,medium,2009,13.8
"Pike County, Indiana",63,586,medium,2008,8.1
"Porter County, Indiana",64,10805,high,2009,10.6
"Posey County, Indiana",65,1498,medium,2008,9.7
"Pulaski County, Indiana",66,954,high,2009,12.8
"Putnam County, Indiana",67,1959,medium,2009,10
"Randolph County, Indiana",68,2292,medium,2009,15.8
"Ripley County, Indiana",69,1471,medium,2008,8.8
"Rush County, Indiana",70,1673,medium,2009,16.8
"St. Joseph County, Indiana",71,24633,medium,2009,15.9
"Scott County, Indiana",72,1672,high,2009,11.6
"Shelby County, Indiana",73,3200,high,2009,12
"Spencer County, Indiana",74,1126,medium,2008,9.2
"Starke County, Indiana",75,2055,medium,2009,14.8
"Steuben County, Indiana",76,2148,high,2009,10.8
"Sullivan County, Indiana",77,1987,medium,2009,17.4
"Switzerland County, Indiana",78,1092,medium,2009,18
"Tippecanoe County, Indiana",79,28119,low,2010,25
"Tipton County, Indiana",80,615,medium,2008,6.8
"Union County, Indiana",81,389,medium,2008,9.1
"Vanderburgh County, Indiana",82,17816,medium,2009,16.3
"Vermillion County, Indiana",83,1343,medium,2009,14.5
"Vigo County, Indiana",84,12827,low,2010,20.7
"Wabash County, Indiana",85,1992,high,2009,11.1
"Warren County, Indiana",86,397,medium,2008,8.1
"Warrick County, Indiana",87,3002,medium,2008,8.3
"Washington County, Indiana",88,2309,high,2009,13.7
"Wayne County, Indiana",89,7352,medium,2009,19
"Wells County, Indiana",90,1673,high,2009,10.4
"White County, Indiana",91,1425,high,2009,10.2
"Whitley County, Indiana",92,1675,medium,2008,8.4
