county_name,id,total_amount,group,category,percentage,bachelor_amount,bachelor_percentage,bachelor_group,associate_amount,associate_percentage,,,,,university   ,total_population,bachelor_percentage
"Adams County, Indiana",1,2680,low,10-19.9,14.3,3227,7.9,7.0-13.9,5598,7.6,8825,8.5,16,112.6480703,,34021,0.9
"Allen County, Indiana",2,30421,low,10-19.9,13.9,64094,8.5,7.0-13.9,76497,10.1,140591,14.1,16,117.7152187,,359216,4
"Bartholomew County, Indiana",3,5714,low,10-19.9,11.8,15983,7.2,7.0-13.9,13817,10.1,29800,12.5,16,85.33431208,,79013,2.4
"Benton County, Indiana",4,645,low,10-19.9,12.7,983,7.5,7.0-13.9,1590,9.1,2573,12.4,16,95.53883835,,8574,3.3
"Blackford County, Indiana",5,987,low,10-19.9,13.9,931,8.2,7.0-13.9,2377,12.4,3308,13.3,16,113.4952019,,12088,0.9
"Boone County, Indiana",6,2088,low,0-9.9,5.6,18039,3.4,0-6.9,9425,6.1,27464,7.5,8,19.11900324,,61158,1.4
"Brown County, Indiana",7,1139,low,10-19.9,12.9,2557,7.7,7.0-13.9,3296,10.6,5853,13.8,16,99.2374713,,14806,3.2
"Carroll County, Indiana",8,1355,low,10-19.9,11.5,2404,6.8,7.0-13.9,4096,7.7,6500,11.8,16,78.73926225,,19790,4.1
"Cass County, Indiana",9,3126,medium,10-19.9,13.8,3605,8.4,7.0-13.9,7564,8.5,11169,14.4,16,115.2796558,,37421,5.9
"Clark County, Indiana",10,6553,low,0-9.9,9.3,15730,5.8,0-6.9,26024,7.1,41754,10.4,16,54.32212001,,112188,3.3
"Clay County, Indiana",11,2631,low,10-19.9,16.7,3072,10.1,7.0-13.9,5072,10.1,8144,13.7,16,168.5438644,,26069,3.6
"Clinton County, Indiana",12,2121,low,10-19.9,11.3,3134,6.7,0-6.9,5495,9.4,8629,12.6,16,75.17030486,,31884,3.2
"Crawford County, Indiana",13,1179,low,10-19.9,18.5,717,11.3,7.0-13.9,1856,12.6,2573,16.2,24,208.7824256,,10447,3.6
"Daviess County, Indiana",14,2222,low,10-19.9,12.3,2793,6.9,7.0-13.9,4844,9,7637,12.4,16,85.26158166,,32055,3.4
"Dearborn County, Indiana",15,2446,low,0-9.9,8.1,6753,5.0,0-6.9,10268,6.7,17021,9.2,16,40.65540804,,48733,2.5
"Decatur County, Indiana",16,1810,low,10-19.9,11.7,3191,7.0,7.0-13.9,4773,8.9,7964,11.5,16,81.88145227,,25863,2.6
"DeKalb County, Indiana",17,2908,low,10-19.9,11.4,4878,6.9,7.0-13.9,8562,9.2,13440,12.5,16,78.9427061,,41994,3.3
"Delaware County, Indiana",18,16866,high,20-29.9,24.2,16351,15.4,14.0-21.0,21489,14.1,37840,21,24,373.8285264,Ball State University,109183,6.9
"Dubois County, Indiana",19,1978,low,0-9.9,7.9,5606,4.8,0-6.9,7909,6.6,13515,8.5,16,37.66166157,,41491,1.9
"Elkhart County, Indiana",20,16243,low,10-19.9,13.9,23104,8.2,7.0-13.9,32208,10.5,55312,14.4,16,114.2189294,,197671,3.9
"Fayette County, Indiana",21,2701,low,10-19.9,19.4,1741,11.6,7.0-13.9,4468,11.4,6209,14,16,225.7038249,,23216,2.6
"Floyd County, Indiana",22,4910,low,10-19.9,10.4,13881,6.5,0-6.9,15681,7.1,29562,9.1,16,68.10440257,,74979,2
"Fountain County, Indiana",23,1274,low,10-19.9,13.2,1652,7.8,7.0-13.9,3381,10.4,5033,13.1,16,102.9810165,,16330,2.7
"Franklin County, Indiana",24,1566,medium,10-19.9,11.5,2956,6.9,7.0-13.9,4036,7.9,6992,15.9,16,78.99030659,,22799,8
"Fulton County, Indiana",25,1651,low,10-19.9,14,1894,8.2,7.0-13.9,4213,10.9,6107,14.1,16,114.5505005,,20178,3.2
"Gibson County, Indiana",26,1957,low,0-9.9,9.9,3539,6.0,0-6.9,7899,7.7,11438,9.5,16,59.17262232,,32742,1.8
"Grant County, Indiana",27,6848,high,10-19.9,18.3,7438,10.9,7.0-13.9,12706,13.4,20144,20.2,24,199.0824172,Indiana Wesleyan University,62948,6.8
"Greene County, Indiana",28,2985,low,10-19.9,15.6,3253,9.3,7.0-13.9,7029,10.8,10282,15.6,16,144.4265244,,32242,4.8
"Hamilton County, Indiana",29,9247,low,0-9.9,5,109706,3.1,0-6.9,46453,6.1,156159,7.9,8,15.35521068,,301103,1.8
"Hancock County, Indiana",30,3065,low,0-9.9,7,14044,4.3,0-6.9,15480,5.3,29524,6.4,8,30.11270334,,71249,1.1
"Harrison County, Indiana",31,3335,low,10-19.9,14,4635,8.6,7.0-13.9,8165,11.6,12800,13.5,16,120.15853,,38857,1.9
"Hendricks County, Indiana",32,4637,low,0-9.9,4.9,35415,3.0,0-6.9,30458,3.7,65873,5.8,8,14.8550862,,152953,2.1
"Henry County, Indiana",33,4149,low,10-19.9,15.3,5224,9.1,7.0-13.9,9188,14,14412,18.4,24,139.9495139,,45359,4.4
"Howard County, Indiana",34,8340,low,10-19.9,17.2,11155,10.2,7.0-13.9,18420,12.5,29575,16.7,24,176.2303742,,81398,4.2
"Huntington County, Indiana",35,2441,low,10-19.9,11.2,4628,7.0,7.0-13.9,6855,10,11483,14.2,16,77.87614653,,35106,4.2
"Jackson County, Indiana",36,3593,low,10-19.9,13.8,4750,8.4,7.0-13.9,7290,8.6,12040,11.7,16,116.0171276,,42738,3.1
"Jasper County, Indiana",37,1506,low,0-9.9,7.8,3661,4.7,0-6.9,6436,5,10097,7.6,8,36.28243143,,32376,2.6
"Jay County, Indiana",38,1811,medium,10-19.9,15,1517,8.7,7.0-13.9,3534,9.2,5051,14.4,16,130.3315262,,20843,5.2
"Jefferson County, Indiana",39,2445,low,10-19.9,13.5,3646,8.2,7.0-13.9,6238,8.9,9884,11.2,16,110.0360036,,29997,2.3
"Jennings County, Indiana",40,2385,low,10-19.9,14.1,1786,8.6,7.0-13.9,5158,9.2,6944,14.4,16,121.7762086,,27615,5.2
"Johnson County, Indiana",41,7934,low,0-9.9,9,28580,5.5,0-6.9,28319,6.7,56899,9.3,16,49.26148476,,144953,2.6
"Knox County, Indiana",42,2955,low,10-19.9,13.6,3763,8.4,7.0-13.9,8955,7.4,12718,9.3,16,113.6088653,,35374,1.9
"Kosciusko County, Indiana",43,4619,low,10-19.9,10,10941,6.0,0-6.9,13619,7.3,24560,10.6,16,60.35462754,,76531,3.3
"LaGrange County, Indiana",44,2128,low,10-19.9,10.4,2438,5.6,0-6.9,4612,7,7050,10,16,58.27834101,,37975,3
"Lake County, Indiana",45,45574,medium,10-19.9,15.4,67761,9.4,7.0-13.9,101767,12,169528,17.1,24,145.2218139,,483288,5.1
"LaPorte County, Indiana",46,9042,low,10-19.9,14.8,13197,8.9,7.0-13.9,21922,11.6,35119,16.3,24,131.3186662,,101906,4.7
"Lawrence County, Indiana",47,3360,low,10-19.9,12.4,4579,7.5,7.0-13.9,10011,9.3,14590,12.5,16,93.09350911,,44755,3.2
"Madison County, Indiana",48,12777,low,10-19.9,17.3,15269,10.4,7.0-13.9,26657,13.3,41926,17.2,24,179.6141064,,123065,3.9
"Marion County, Indiana",49,106719,medium,10-19.9,18.3,175721,11.7,7.0-13.9,171434,14.3,347155,19.5,24,213.8458262,University of Indianapolis,913255,5.2
"Marshall County, Indiana",50,3008,low,10-19.9,11.1,5662,6.5,0-6.9,7769,6.4,13431,12.4,16,72.41119063,,46110,6
"Martin County, Indiana",51,681,low,10-19.9,11.2,811,6.7,0-6.9,2126,5.6,2937,8.9,16,75.4944076,,10103,3.3
"Miami County, Indiana",52,3096,low,10-19.9,15.1,2865,9.2,7.0-13.9,7132,13,9997,16,16,138.6487929,,33718,3
"Monroe County, Indiana",53,26510,high,20-29.9,29.3,35824,20.7,14.0-21.2,19352,14,55176,22.9,24,605.203983,Indiana University Bloomington,128344,8.9
"Montgomery County, Indiana",54,2423,low,10-19.9,11,4239,6.6,0-6.9,7180,8.7,11419,10.5,16,73.00191728,,36510,1.8
"Morgan County, Indiana",55,4847,low,10-19.9,11.5,7312,7.1,7.0-13.9,14424,7.8,21736,9.7,16,81.7357323,,68196,1.9
"Newton County, Indiana",56,989,low,10-19.9,11.8,995,7.2,7.0-13.9,2814,8.3,3809,13.6,16,84.6955512,,13779,5.3
"Noble County, Indiana",57,2860,low,10-19.9,10.1,4395,6.1,0-6.9,9200,7.7,13595,9.9,16,62.03904555,,46561,2.2
"Ohio County, Indiana",58,272,low,0-9.9,7.5,591,4.6,0-6.9,1216,6.8,1807,8.8,16,34.45363959,,5921,2
"Orange County, Indiana",59,1743,low,10-19.9,15.3,1571,9.1,7.0-13.9,3492,8.6,5063,13.2,16,139.040146,,19180,4.6
"Owen County, Indiana",60,1878,high,10-19.9,14.6,1761,9.0,7.0-13.9,4328,9.3,6089,16.4,24,131.8274917,,20799,7.1
"Parke County, Indiana",61,1451,high,10-19.9,16.1,1326,9.4,7.0-13.9,3383,10.6,4709,17.1,24,151.1556131,Ivy Tech Community College,15455,6.5
"Perry County, Indiana",62,1440,medium,10-19.9,13.8,1798,8.3,7.0-13.9,2967,8.2,4765,13.7,16,114.3843896,,17373,5.5
"Pike County, Indiana",63,586,low,0-9.9,8.1,1108,4.8,0-6.9,2427,7.5,3535,11,16,38.48074585,,12335,3.5
"Porter County, Indiana",64,10805,low,10-19.9,10.6,29467,6.6,0-6.9,34427,7.5,63894,11.2,16,70.28246022,,162961,3.7
"Posey County, Indiana",65,1498,low,0-9.9,9.7,3610,5.9,0-6.9,6129,6.5,9739,9,16,57.60168081,,25226,2.5
"Pulaski County, Indiana",66,954,low,10-19.9,12.8,950,7.5,7.0-13.9,2693,11.6,3643,15.8,16,95.84929356,,12740,4.2
"Putnam County, Indiana",67,1959,low,10-19.9,10,3543,6.1,0-6.9,7287,6.1,10830,8.6,16,61.29728715,,31959,2.5
"Randolph County, Indiana",68,2292,low,10-19.9,15.8,2265,9.2,7.0-13.9,5130,13,7395,17.4,24,145.3894331,,24908,4.4
"Ripley County, Indiana",69,1471,low,0-9.9,8.8,3356,5.2,0-6.9,5011,6.4,8367,7.5,8,46.09314912,,28084,1.1
"Rush County, Indiana",70,1673,low,10-19.9,16.8,1612,10.1,7.0-13.9,2616,12.6,4228,16.5,24,169.2952656,,16602,3.9
"St. Joseph County, Indiana",71,24633,medium,10-19.9,15.9,48475,9.6,7.0-13.9,49248,12.4,97723,17.8,24,153.0298898,University of Notre Dame,255940,5.4
"Scott County, Indiana",72,1672,low,10-19.9,11.6,2099,7.2,7.0-13.9,4701,6,6800,10,16,83.26264274,,23294,4
"Shelby County, Indiana",73,3200,low,10-19.9,12,5049,7.4,7.0-13.9,8540,7.7,13589,9.8,16,88.2718036,,43502,2.1
"Spencer County, Indiana",74,1126,low,0-9.9,9.2,2201,5.5,0-6.9,4339,6.4,6540,9,16,50.69838007,,20433,2.6
"Starke County, Indiana",75,2055,low,10-19.9,14.8,1840,9.0,7.0-13.9,4725,12.3,6565,15.7,16,132.6384649,,22930,3.4
"Steuben County, Indiana",76,2148,low,10-19.9,10.8,4632,6.6,0-6.9,7069,7.5,11701,12.6,16,70.97133417,,32687,5.1
"Sullivan County, Indiana",77,1987,low,10-19.9,17.4,1735,10.5,7.0-13.9,4217,11.1,5952,14.8,16,183.3472981,,18857,3.7
"Switzerland County, Indiana",78,1092,low,10-19.9,18,580,10.6,7.0-13.9,1818,15.1,2398,16.1,24,190.2807357,,10330,1
"Tippecanoe County, Indiana",79,28119,high,20-29.9,25,34982,16.8,14.0-21.1,28691,11.6,63673,18.5,24,418.8613478,Purdue University,167830,6.9
"Tipton County, Indiana",80,615,low,0-9.9,6.8,2289,4.0,0-6.9,3007,8.9,5296,11.7,16,27.40857255,,15258,2.8
"Union County, Indiana",81,389,low,0-9.9,9.1,923,5.4,0-6.9,1238,7,2161,12.2,16,49.48832658,,7153,5.2
"Vanderburgh County, Indiana",82,17816,low,10-19.9,16.3,30327,10.2,7.0-13.9,37774,12.2,68101,16.3,24,165.9698695,,174972,4.1
"Vermillion County, Indiana",83,1343,low,10-19.9,14.5,1414,8.7,7.0-13.9,3356,11,4770,13.8,16,125.9279617,,15464,2.8
"Vigo County, Indiana",84,12827,high,20-29.9,20.7,15773,13.0,7.0-13.9,20675,14.1,36448,19.6,24,268.8690078,Indiana State University,98754,5.5
"Wabash County, Indiana",85,1992,low,10-19.9,11.1,3968,6.6,0-6.9,5959,8.3,9927,11.7,16,73.02245707,,30280,3.4
"Warren County, Indiana",86,397,low,0-9.9,8.1,1132,4.9,0-6.9,1639,4.9,2771,6,8,39.76381847,,8087,1.1
"Warrick County, Indiana",87,3002,low,0-9.9,8.3,11649,5.0,0-6.9,13290,7.4,24939,9.7,16,41.28956352,,60346,2.3
"Washington County, Indiana",88,2309,low,10-19.9,13.7,2403,8.4,7.0-13.9,5132,9.1,7535,14.3,16,115.2523044,,27447,5.2
"Wayne County, Indiana",89,7352,medium,10-19.9,19,7854,11.4,7.0-13.9,13013,13.5,20867,17.9,24,215.6843974,,64765,4.4
"Wells County, Indiana",90,1673,low,10-19.9,10.4,3244,6.1,0-6.9,6170,7.2,9414,9.5,16,63.90655991,,27226,2.3
"White County, Indiana",91,1425,low,10-19.9,10.2,2618,6.0,0-6.9,5109,5.9,7727,7.6,8,60.8872319,,23872,1.7
"Whitley County, Indiana",92,1675,low,0-9.9,8.4,4186,5.1,0-6.9,6921,5.5,11107,8.6,16,42.84409257,,32840,3.1
